date,pm25,o3,no2,so2,co,aqi
2020-05-01, 106, 9, 1, 2,0,0
2020-05-02, 117, 6, 1, 2,0,0
2020-05-03, 101, 8, 3, 2,0,0
2020-05-04, 103, 6, 2, 2,0,0
2020-05-05, 119, 5, 1, 2,0,0
2020-05-06, 97, 4, 2, 2,0,0
2020-05-07, 112, 7, 2, 2,0,0
2020-05-08, 102, 7, 2, 2,0,0
2020-05-09, 119, 10, 1, 2,0,0
2020-05-10, 116, 5, 2, 3,0,0
2020-05-11, 93, 5, 2, 2,0,0
2020-05-12, 90, 6, 1, 2,0,0
2020-05-13, 83, 7, 1, 3,0,0
2020-05-14, 73, 5, 1, 2,0,0
2020-05-15, 90, 7,0, 3,0,0
2020-05-16, 99, 6,0, 2,0,0
2020-05-17, 76, 12,0, 3,0,0
2020-05-18, 104, 7,0, 3,0,0
2020-05-19, 125, 6,0,0,0,0
2020-05-20, 98, 9, 5, 3,0,0
2020-05-21, 112, 6, 4, 3,0,0
2020-05-22, 112, 7, 3, 3,0,0
2020-05-23, 113, 6, 3, 3,0,0
2020-05-24, 121, 10, 3, 3,0,0
2020-05-25, 101, 7, 1, 3,0,0
2020-05-26, 91, 8, 2, 3,0,0
2020-05-27, 100, 9, 3, 4,0,0
2020-05-28, 139, 7, 3, 3,0,0
2020-05-29, 106, 7, 4, 3,0,0
2020-05-30, 99, 6, 2, 3,0,0
2020-05-31, 106, 6, 5, 3,0,0
2020-06-01, 93, 5, 5, 3,0,0
2020-06-02, 103, 12, 3, 3,0,0
2020-06-03, 115, 9, 3, 3,0,0
2020-06-04, 113, 9, 4, 3,0,0
2020-06-05, 122, 6, 5, 3,0,0
2020-06-06, 139, 7, 5, 3,0,0
2020-06-07, 118, 5, 4, 4,0,0
2020-06-08, 101, 10, 7, 4,0,0
2020-06-09, 112, 7, 6, 3,0,0
2020-06-10, 94, 6, 5, 3,0,0
2020-06-11, 93, 7, 5, 3,0,0
2020-06-12, 89, 6, 5, 3,0,0
2020-06-13, 96, 4, 5, 4,0,0
2020-06-14, 96, 4, 7, 3,0,0
2020-06-15, 91, 6, 5,0,0,0
2020-06-16, 72, 5, 5, 1,0,0
2020-06-17, 77, 4, 5,0,0,0
2020-06-18, 71, 4, 5,0,0,0
2020-06-19, 75, 7, 4,0,0,0
2020-06-20, 77, 9, 4,0,0,0
2020-06-21, 88, 7, 5,0,0,0
2020-06-22, 83, 9, 7,0,0,0
2020-06-23, 77, 6, 8,0,0,0
2020-06-24, 77, 7, 8,0,0,0
2020-06-25, 122, 7, 4,0,0,0
2020-06-26, 74, 10, 5,0,0,0
2020-06-27, 76, 9, 4,0,0,0
2020-06-28, 80, 7, 6, 1,0,0
2020-06-29, 84, 10, 7,0,0,0
2020-06-30, 95, 6, 7, 1,0,0
2020-01-01, 182, 2, 11, 1,0,0
2020-01-02, 145, 2, 9, 1,0,0
2020-01-03, 93, 2, 9, 1,0,0
2020-01-04, 114, 2, 8, 1,0,0
2020-01-05, 100, 2, 7, 1,0,0
2020-01-06, 104, 2, 10, 1,0,0
2020-01-07, 135, 2, 8, 1,0,0
2020-01-08, 111, 2, 9, 2,0,0
2020-01-09, 113, 2, 6, 1,0,0
2020-01-10, 101, 2, 5, 1,0,0
2020-01-11, 102, 2, 5, 2,0,0
2020-01-12, 103, 1, 8, 4,0,0
2020-01-13, 171, 2, 12, 3,0,0
2020-01-14, 235, 2, 5, 1,0,0
2020-01-15, 111, 2, 6, 3,0,0
2020-01-16, 107, 3, 5, 2,0,0
2020-01-17, 116, 3, 5, 1,0,0
2020-01-18, 148, 4, 4, 1,0,0
2020-01-19, 97, 4, 5, 1,0,0
2020-01-20, 133, 2, 9, 1,0,0
2020-01-21, 178, 3, 6, 1,0,0
2020-01-22, 162, 4, 3, 1,0,0
2020-01-23, 116, 4, 2, 1,0,0
2020-01-24, 89, 7, 2, 1,0,0
2020-01-25, 80, 7, 3, 1,0,0
2020-01-26, 72, 5, 3, 1,0,0
2020-01-27, 80, 5, 3, 1,0,0
2020-01-28, 105, 5, 3, 1,0,0
2020-01-29, 136, 5, 7, 1,0,0
2020-01-30, 154, 3, 11, 3,0,0
2020-01-31, 150, 4, 9, 2,0,0
2020-02-01, 167, 4, 6, 1,0,0
2020-02-02, 205, 5, 4, 1,0,0
2020-02-03, 150, 7,0,0,0,0
2020-02-04, 66, 7,0, 2,0,0
2020-02-05, 76, 2, 2, 2,0,0
2020-02-06, 146,0, 2, 1,0,0
2020-02-07, 153,0,0, 1,0,0
2020-02-08, 103, 2,0, 1,0,0
2020-02-09, 77, 1,0, 3,0,0
2020-02-10, 128, 2,0, 2,0,0
2020-02-11, 151, 1, 11, 2,0,0
2020-02-12, 157, 3, 9, 1,0,0
2020-02-13, 123, 5, 7, 1,0,0
2020-02-14, 110, 6, 8, 1,0,0
2020-02-15, 121, 6, 5, 2,0,0
2020-02-16, 91, 5, 7, 2,0,0
2020-02-17, 116, 5, 12, 7,0,0
2020-02-18, 143, 2, 15, 8,0,0
2020-02-19, 161, 2, 11, 4,0,0
2020-02-20, 196, 2, 11, 2,0,0
2020-02-21, 228, 6, 13, 2,0,0
2020-02-22, 198, 4, 14, 2,0,0
2020-02-23, 193, 4, 11, 2,0,0
2020-02-24, 139, 2, 9,0,0,0
2020-02-25, 137, 1, 13, 2,0,0
2020-02-26, 136, 2, 10, 2,0,0
2020-02-27, 110, 2, 7, 1,0,0
2020-02-28, 99, 4, 7, 1,0,0
2020-02-29, 105, 4, 6, 1,0,0
2020-03-01, 103, 4, 6, 1,0,0
2020-03-02, 98, 4, 5, 1,0,0
